User,Gender,Level,Message
bilishareholder,保密,3,很开心，很开心，一场晚会，让B站股价涨得飞起。
汐见酱,女,5,我一直留在这里，或许就是在等着这一刻，b站真的经历了好多，各种活动的经验，开始把acg这块与大众逐渐接轨熟知，尽管变了很多，但是很用心的传播着咱们的文化，通融进了现在社会使人认知肯定，尽管外界来的人来看也不熟悉这些事物，但是作品的质量与文化的包容，以及对二次元的各种文化初步的广大人众认识，甚至能体会到热情，不得不说就算有些节目都不是流量，但内容的制作已经深刻留在每个看到的人心中，真的要感叹，无论发生多少糟糕的过程，甚至有些纠纷，但是b站是真的很懂我们这些人的心。你真的长大了啊TvT不多说，这个值得回看无数遍，都循环至今也有点退不出去了，连想找时间补番的想法都被这里的节目吸引着。
壑藏云,保密,4,下一年请杰大来吧！！！
叉叉鸽鸽,保密,5,冯提莫下刷快进的几个意思？不爱看就诋毁？带着有色眼镜看人？
听说名字长能辟邪,保密,5,这是我第一个完完全全看完的晚会[洛天依_爱你哦]
假老练来了,保密,4,哪怕请一堆艺术家弹一晚上轻音乐，我都能听完[doge]
28968505890_bili,保密,2,"主持人：朱广权，陈超
第一篇章『日落』
1.欢迎回到 艾泽拉斯         O-DOG舞团
《魔兽世界》舞蹈秀1:13

2.哪吒        GAI周廷
《哪吒之魔童降世》电影主题曲12:42
《华夏》16:37

3.《生活因你而狂热》20:53    新裤子乐队

4.《空心》30:36       冯提莫
《佛系少女》35:15

5.Jump Up High！  
《Only My Raligun》40:19   胜乐一
《Butter—Fly》43:13    大琴KoTo，绛舞乱丸，SaxoPEdCh，唯涅泰罗
《逮虾户》44:37
《名侦探柯南》46:39

6.种花组曲      军心爱乐合唱团，张光北
《钢铁洪流进行曲》52:57

7.Phoenix       ChrissyCostanza
《涅槃》2019英雄联盟全球总决赛主题曲59:04

中场魔术恰饭    王禹  62:23

第二章『月升』
1.我为歌狂     胡彦斌
《有梦好甜蜜》《我为歌狂》插曲00:58
《我的舞台》《我为歌狂》主题曲4:58

2.见.东方
《新九九八十一》9:35  肥皂菌，墨韵Moyun，团团子，陆二胡，孟晓洁Jac
《爱殇》11:58   小时姑娘，紫颜—小仙紫
《蒹葭/白露》14:26      方颂评
《天地有道》15:59      易言

3.《去流浪》20:05    周笔畅
《女流》20:43
   
4.《Game Of Thrones Main Tittles》29:34     Luka salic
权利的游戏主题曲
《The Four Seasons:Summer》35:44
四季一夏

5.《不愿回头》  38:30   南征北战NZBZ
动画《镇魂街》主题曲
《骄傲的少年》42:01
动画《那年那兔那些事》第二季片尾曲

6.《如去年一样伤悲》47:00    旧北乐队7.《青山白云》50:14    戴荃
《大氿歌》54:21

8.《Let,s Disco》58:27      张蔷"
达贤Edward,保密,5,"我馋邓紫棋的身子，我下贱；
放屁！
你那是馋她的身子吗？你那是喜欢她！
真爱！"
暖神さま,男,5,人民日报发文表扬了，小破站牛逼[点赞][点赞]
一个成熟三级号,保密,3,"你怕是想回收币……
给你给你都给你！"
十一-一十,男,6,b站，我十年的青春啊，今年六月份毕业了，现在自己创业，再苦再累，我也会坚持下去
桑榆小姐,保密,2,#bilibili晚会 二零一九最美的夜# 2020跨年晚会真的超级棒~~！！！吹爆好嘛~~！And许愿期待明年有老版美少女战士配乐、海贼王主题曲、majiko、花泽香菜、英雄联盟拳头的《Welcome to Planet Urf》（新无限火力主题曲）、吉森信的《池袋西口五叉路交差点》、精灵旅社的海怪邪恶曲……啦啦啦~~就先许愿这些吧~~~嘻嘻[害羞]~
桑榆小姐,保密,2,许愿期待明年有老版美少女战士配乐、海贼王主题曲、majiko、花泽香菜、英雄联盟拳头的《Welcome to Planet Urf》（新无限火力主题曲）、吉森信的《池袋西口五叉路交差点》、精灵旅社的海怪邪恶曲……啦啦啦~~就先许愿这些吧~~~嘻嘻[害羞]
小婷睡不饱,保密,5,[大哭]听五月天的歌听哭了
波风水门8126,保密,3,建议上线哔哩卫视[喜极而泣]
MIA三娘,保密,3,我想问 有没有除了冯提莫的全部歌单 想保留....有大神剪接好吗[爱心][爱心][爱心]
艾沐丶,保密,4,兄弟们我准备去买基金尽绵薄之力[微笑]
我家的大毛,女,5,我在想，明年跨年，刚开始就叫大sao去那里吃面，吃到跨年，效仿那个小彩旗，记得多备点蒜
yyyy一飞,男,4,我希望这是一个开始，而不是最后成了一个巅峰
奇迹之二汪,保密,5,B站股价因为这个晚会涨了十几个点！！！B站已经已经长大了，开始奔跑了。
丹丹游侠,保密,2,这才真的是一场有才华有情怀的晚会
玛卡_瑞纳,女,5,迟来的新年快乐送给你[2020]
志伟志伟不可以,男,5,资本注入就是厉害  请了那么多明星乐队
2盘茴香豆,男,4,钢铁洪流进行曲和中国军魂听得我泪崩
白子箫,女,3,这次真的挺吴亦凡了，想不到他能来哔哩哔哩…心情复杂，以后我们是一家人了[笑哭]我以前要是言语过激，你一定要原谅我，我也会静静看着你越来越好，
蕾-公,保密,5,看完了，睡觉，明天早起准备考试[doge]
奇迹大陆最闪亮的星,保密,5,#bilibili晚会 二零一九最美的夜#刷完了，不困了，今天又是熬夜冠军呢。bilibili干杯！
金沙猪肘堡,保密,4,不需要报幕就开始演，喜欢这样不啰嗦
萌新灬桀嘤,保密,5,(゜-゜)つロ 干杯~-bilibili
东边什么出西边雨,女,4,b站用户比较年轻，这样的舞台氛围更合适。春晚面向所有人，你不能指望咱父母那一辈跟我们一起嗨，不懂的居多。最后，祝b站在2020年更上一层楼，祝各位小伙伴新年快乐
涪砚邶,保密,3,b站也有排面了
理论123,保密,5,"小破站已经没法用牛来解释了，一场晚会却杂糅了20年的过程，这哪里是场晚会，分明是历经了童年，少年到青年的时光。
音乐和光影都夹杂在这场盛典里，童年的天真和快乐，少年的梦想和热血，青年的壮志和沉稳，每一首选曲都击中你我最深的记忆。
第一次看柯南的紧张，
第一次知道魔法世界的神奇，
第一次为火的意志而流泪，
第一次为中国军魂的震撼，
第一次为国漫崛起而呐喊，每一笔都在20年的岁月里。
今晚除了流泪，已经没有其他了，光阴已逝，但我却因这些美好而愿意继续固守那一片赤诚，愿我们这一代历经沧桑后永远都能怀有赤子之心。"
风吹不动影子,保密,5,2020，一起干杯~
烦不烦人12345,保密,3,超合心意的晚会
风吹雨落田,保密,2,新颖，惊艳，第一次留言以纪念B站得跨年
一只灬小强啊,保密,3,干杯(￣▽￣)～■干杯
罗喉爱将,保密,5,牛逼完事
糯米做的猫团子,保密,4,加油小破站！
是南斋斋啊,女,5,我爱b站呜呜呜呜呜呜呜呜呜四年还是五年了呜呜呜这里永远是我的宝藏
老白-rua,男,4,我到家了
烟沫凡尘_,男,5,说没有JOJO的你再仔细看看方老师的发型像谁[doge]
高冷的先知叔叔,保密,4,魔术师好惨
丿要污丶不要优雅丨,男,5,我们仍为知道B站多有钱
筱狐梨,女,5,我在拜年祭等着大家∩_∩
扎着丸子头碎碎念的鸭,保密,5,小破站呐小破站，此生有你这个知音和各位站友，我满足了，2020干杯，多谢款待~
萨姆泰姆斯,保密,4,我听到了我的青春！
苏丹红,男,5,我知道有跨年什么晚会，但是你倒是告诉我为什么这么悄无声息啊？看完后……我懂了 你就是想让我从头到尾张嘴对吧？奈何鄙人才疏学浅……[蛆音娘_扶额]  你强……我睡不着了 （老年96后路过）
私人氏,保密,5,五月天后面两首歌太好哭了呜呜呜呜，我想起了前几年那首《再干一杯》，你们干杯，今年bml结尾洛葱再来一杯，你们是要我回忆时溺死在这一年啊呜呜呜呜呜……
念亡の风信子,男,5,2020.01.03.00:10，补课完毕，诸位晚安。
瓜子一体机,男,4,没看直播，前来谢罪，没想到跨年晚会这么香
四爷的桐桐,女,5,我没文化，我只能说出一句卧槽……从看到主持人的那一刻就开始不停卧槽
22268073070_bili,保密,2,B站用户和晚会演出者高度匹配，所以对双方来说都超级有感觉，台上的人开心演台下的人满意地看，啊啊啊啊简直了！！赞！！#晚会#
黑暗草莓圣代,男,6,"开放包容，兼容并蓄，海纳百川
这样的晚会才是真真正正的 中 国 风 ！"
bili_54780626052,保密,2,b站真的融合的太好了，各种群体主题文化放在一起居然丝毫不突兀，全都兜住了，包容活泼大气，由衷的佩服[打call]
厨房幸存者,男,5,出手王炸，后面怎么打
shinyshine,保密,3,作为一名93年的奔三大叔，终于有一台属于我们这一代人的晚会，特别是胡彦斌上来唱的两首歌，让我想起在那个mp3还未完全发展起来的年代，晚上睡觉前抱着个放英语听力磁带的复读机，循环一遍我为歌狂的歌曲，一天学习压力就烟消云散，憧憬着高中的生活，去认识那个她
原野风177,男,2,我今年47，自打从儿子那知道B站到如今有3年了吧！我很喜欢，注册了，手机装了APP[喜极而泣]
Rlhanna,保密,5,网易云有原声带吗   中间up古风曲太喜欢了
Rlhanna,保密,5,网易云有原声带吗   中间up古风曲太喜欢了
ASFAmor,保密,3,深深爱你[喜欢][喜欢][喜欢][爱心][爱心][爱心]
彼岸花铭,保密,5,我现在就是后悔非常后悔打了一夜的英雄联盟[2233娘_大哭]
张秋冬winter,男,5,真的用心的晚会，B站牛逼！2020年之前最牛逼的晚会！
醉梦人生,男,5,小破站的跨年音乐会被人民日报点名表扬了！开心！哈哈哈！
zxc2589,保密,4,b站的晚会真不错！但也只是说明中国演出市场非常成熟了，也许年三十的腾讯视频也搞一场费用更高的明星更多的网络春晚。这次也算是哔哩哔哩在一个央视没那么强势的时段押对宝了！也希望小破站越来越好吧！以前只看A站到现在B站的辉煌，希望不要冲昏头脑吧！还记得即刻电音也曾经辉煌呢，随即即刻就关闭了！！！
画师鸡儿难放假,男,5,春晚:我春晚愿称之你为最强[打call]
刘老妈,保密,4,他的声音象天使般纯净，周深[支持]
25050532091_bili,保密,4,讲真的，我对冯提莫印象不太好，但这次唱的真的不错，我都循环了
请准备好服我,保密,2,现场观众看到的洛天依跟我们看到的一样吗？
桜町大人,女,5,"我很爱Bilibili,但是还是那句话，弹幕环境越来越差了。。。难受"
晴风阡陌,男,4,希望以后的跨年晚会能请到米津玄师，西瓜JUN和汪苏泷！[打call]
哎一古嗨一莱特,女,5,音乐盛宴，高水准，够实力，管弦乐团坐镇全场，时尚的体裁诠释中华文化，8090的回忆杀，没有废话的主持有的是会段子的朱广权，没有流量明星有的是嗨翻全场的乐队主场，一个一个的惊喜暴击，做好准备跪着奉上金币就是了。反正我多年不看跨年晚会的习惯可以改了，哈哈，真香！
随风飘落的星星,保密,5,求你了B站明年继续吧
Zdawg,保密,5,当初不就是央视播的战网魔么，现在倒是央视主持人管魔兽叫经典游戏了，好一个经典
君本无意穿堂风,女,2,那些昙花一现的灿烂 是爆炸的烟火
蒙娜丽婷,保密,3,我在人民日报刷单了B站的晚会！！！
问苍天你咋不是上天,女,3,"为了部落！这声音响起，我还没记起什么眼泪就先盈眶了。谢谢小破站，让我突然又意识到我曾经历了这么多美好的岁月。会不会有一天世界真的能倒退，退回起点。或者我能回到过去好好地给自己一个拥抱，我会告诉那个着急长大的孩子:不要急，该来的总会来临，留不住的就让它慢慢走远。和同学的矛盾只会是再也记不起来的无所谓甚至没有勾股定理给你的印象深，不要耿耿于怀也不要怀疑,改变自己。你就是这样看不惯你的会自己消失在你的世界里，留下来的都是志同道合一路说笑。从无人到限人再到完人，承担起的不仅是责任，还有初心不改。"
b落落,保密,2,我错过了一个亿[大哭]
一门奆炮烎了,男,5,这才叫晚会
薯片还不打折,保密,5,希望明年可以看见好妹妹[喜欢]
依山观秋澜,保密,2,B站无愧为当代流浪核心。
细细的白线,女,5,人民日报点名表扬了哈哈哈，小破站厉害！
予心以梦,男,5,我真是嗨到不行了[画风突变]，再来亿遍[画风突变]
之影歌,保密,5,这是B站要开始硬币大回收了吗[doge]
正在想个二次元的名字,男,4,"哔哩哔哩 跨年晚会×

其他卫视晚会评判大会√"
果月鸣,保密,6,"每年都有惊喜
每年都觉得 幸好我在B站"
枸杞配红枣吖,保密,4,！考试考什么试，我已经看了一下午了
蛋蛋的尼桑,男,4,这节目效果和内容还看啥地方电视台，直接上网看B站，我们一起干杯庆祝晚会
57812953152_bili,保密,4,就喜欢看你们2级号吹B站的样子
头戴电视机的胖子,男,5,B站，春晚你们来弄吧
sddxzyf,男,5,人民日报点名表扬，有牌面嗷[2233娘_大笑]
hsLLK,保密,4,我被净化了一整个下午
会飞吱兔子,保密,3,这特效，央视春晚压力山大啊
北方的牛哥,保密,3,好几年没有看跨年晚会了，第一次看的这么精精有味，哔哩哔哩干杯！2020干杯！
我只想当个普通上班族,保密,4,人民日报点名表扬小破站了[微笑][微笑][微笑]
MissZ666,保密,5,超出预期地精彩，特别是克莱德曼和哈利波特的部分，哈利波特原著从小学追到高中，看了无数遍，而小时候学钢琴时也曾经因为克莱德曼而立志要走钢琴专业，虽然后来放弃了[笑哭]所以这个节目真的看的热泪盈眶，仿佛眼里看的耳里听的是自己的童年、青春和梦想。
果酱L-zyz,保密,5,权游那段儿，我正哭着呢看到弹幕上闯关东走西口以后硬生生冒出个鼻涕泡来[tv_鼓掌]
爱吃鱼爱吃香菜,女,2,2020，美好的事情都会发生
月代头老司机,女,4,被人民日报点名表扬了，小破站有排面啊
小鸡小猫小狗,男,3,点赞是不可能点赞的
阿德的大直女,女,5,可能是唯一一个真正的歌手唱歌，舞者跳舞，主持在认真主持的晚会了呜呜呜呜
汉上从来不见花,女,5,我要把它全部刷完！
大影于市,保密,4,作为一个快40岁的B站用户，我对这晚会很满意[惊喜]
高冷妹哈哈哈,女,5,冲啊，哔哩哔哩。
iiiori,女,6,谢谢每一位嘉宾，每一位在背后默默付出的工作人员。
南喜冬,保密,5,卧槽！！！我本来就来看一下我gai！现在蹲在这里出不去了！！！看的人想哭！！我为什么不好好蹲当晚的 真的也太好看了吧我爆哭
带带大光头,保密,4,最强的武器不是补丁，而是我方某人。让你们知道什么叫舞器大师
超级玛量,男,4,我想知道咋能把币全投了？
烎天夜,保密,2,啊啊啊啊我太开心了考完试来B站就看见这么棒的跨年晚会我太幸福了啊啊啊啊啊
李余立,保密,4,补课  补课
青黎不在,保密,4,期待拜年祭啊啊啊啊啊啊啊
热血超新星,男,5,"B站跨年是我看过的最好看的跨年晚会
视觉听觉盛宴比很多卫视都要好看
期待明年跨年
哔哩哔哩(゜- ゜)つロ乾杯"
梦游的狗,保密,5,我终于知道自己为什么充了两年大会员
楼空木,保密,4,错过直播
碎寒玦,保密,5,这一届网友们真优秀啊[支持]新的一年好好学习！点满技能点！科研进步！顺利读博！向优秀的人们靠近！
P-singularity,男,3,好想知道赵兆乐团粉头发小提琴手小姐姐的微博啊[大哭]
Ⅲ久酒,保密,5,全场最佳：交响乐团[支持]
梦游过境的羊,保密,5,总的来说我很满意，非常喜欢 给了5星！希望下次还是少请一点明星，吴亦凡这种没必要 真的没必要。
啦德玛啦,保密,5,票是在哪买的啊！
kayakie,保密,4,这首干杯，是因为你我才听，截屏给你，而你已经要问我这是什么歌。想了想，转移了话题。你已经走出去很远啦，也有丰富的经历，是我太慢，过后才沉淀出与你在一起时的那些小细节
吉利汽车,保密,2,来补课了
微米世界,女,4,希望B站越来越好，我永远爱这个小破窝。[2020]
雅雅归我了耶稣都不行,保密,4,这就是一场艺术的音乐盛会.
拔刀吧少侠,保密,4,开个大会员以示敬意
今天的瓜瓜更甜惹,女,4,我觉得参演人员的服装每一个都巨好看怎么办！呜呜呜
罗伊德的轨迹,男,5,真的太对我的胃口，我一定看b站的春晚
西呱xzx,女,5,谁能想到看个跨年演唱会居然一边看一边哭一边跪着……[2233娘_大哭]我真的爱死小破站了
a桃程,保密,4,个人认为是最好看的晚会！b站加油！
不如再去挂东南枝,男,5,各大卫视出来挨打！好好看好好学！
我有一只小怪兽,保密,5,和我爸聊天，结果序曲到柯南。。。我想法弹幕忘了切回，直接给他发了真相只有一个。。。。。。。。老父亲？？？
萌萌哒很好吃,保密,4,事实证明，语言节目不多也能进入观众的心
mineflying,男,5,跟着张蔷抖了好几遍，感觉肩周炎都快好了。
清醒清不清醒,男,5,就冲主持人，就碾压各大卫视。
假行僧小蓝,保密,3,广权现在是b站专用大型节目主持人
luna馨,女,4,无意中看到微博首页有小伙伴说B站晚会好看，所以也来看了看，我喜欢现场的乐队，甚至还有交响乐队，像一场音乐会一样，晚会不就本该是这样的品质嘛，不要什么人气明星，只要好音乐陪伴，B站这次真的很成功，希望继续保持。
82433766289_bili,保密,2,很合年轻人胃口，不错
德华_MayoKI,保密,4,央视春晚也就图一乐，真要看晚会还得小破站[doge]
清风微拂面,女,3,以前逛贴的时候老是看到有人说B站，抱着好奇的心态下了，刚开始的答题就把我吓到了，一边答题一边吐槽为什么题目这么难！答题的时候好几次都想卸了！但是我还是坚持下来了！然后，然后我觉得自己发现了宝藏！B站我爱你！
清明雨上-_-,保密,4,这个提词器确实高了点，每个人都望天发呆
玄武国首席丶阿柒,保密,5,终于找到没有野狼的地方了[喜极而泣]
一口深井well,保密,4,京中有善口技者？？
vnicooooo,保密,4,"我觉得第一次办的真的不错，挺合年轻人的胃口，音效也很好。
提名一些很喜欢的：
gai的哪吒华夏；
戴荃老师的青山白云好听哭；
交响乐演奏的各种动漫主题曲，听butterfly好激动啊;
方锦龙老师真的给跪了，乐器王子啊；
周深的声音真的仙；
邓紫棋的句点听完就加歌单了；
吴亦凡帅哭，大碗宽面好欢乐哈哈哈；
五月天亮相就是演唱会现场啊，气氛nice;"
不知名字咋取,保密,4,这就是我想要的跨年演唱会
牧濑红莉栖っへ,保密,5,各大卫视被B站入泉了，入了就是入了[doge][doge]
安妮饼饼,女,5,我就知道，哈利波特和冰与火之歌那里我哭了
时间十月馨,女,3,我永远爱小破站[2020]
Wico,男,6,B站的大型活动最出彩的一直是演奏，而这次更是达到一个新高峰，这是甩开其他各个卫视的核心要素。同时，这次的演唱嘉宾也表现的很好，B站威武！
慕容ww,保密,5,好了这下真的就有很大的对比了！我看其他卫视的时候广告满天飞！！！b站就不一样了！虽然有广告赞助商但咱也没提那么多！[惊喜]
sticker666,男,5,很烦，在海外我还得翻回来看，到现在都没看上。为什么这个晚会搞这个限制啊，跟拜年祭一样不好吗，忍住了打差评的冲动
ELaplace,保密,4,摄像头拍的角度丰富，最重要的是镜头远近以及切换非常非常流程，观看得很舒服，舞台、服化道都是一流啊，好喜欢！感谢bili，感谢所有工作人员和演员的付出，真的十分精彩的晚会！祝大家新年快乐！
夜夜思卿不见卿,男,5,深夜看完节目，默默点开大会员续费
不要太暴躁噢,保密,5,给不明真相的小伙伴：大氿歌的词曲和普通disco、神经病之歌以及阴阳先生是同一个人哦
摇滚乐治疗颈椎病,女,4,"woc真的要素过多[doge]
甚至有lks的真容[doge][doge][doge]"
雨晨小改改,女,4,作为一个马栏山周边群众要说一句，马桶台真垃圾！
暴走肉团子,男,6,我特么只是睡前来看一眼而已啊！结果，3点半了啊！！！三段全看完了啊！！！放我出去啊！！！这破站为什么这么棒啊！！！这是什么神仙晚会啊！！！[打call]
一生有幸,男,6,我已经快三十了，突然就快三十岁了，哈哈哈哈哈哈哈b站
小森林花生酱,男,5,你们说古代的皇帝老儿他能享受到这么好看的晚会不？[偷笑]
句号pd丶,保密,5,"前天并没有看直播，因为我一开始其实不看好，我很害怕看到出现一些尬戏然后弹幕乱起来，看到之后评论区几乎一致好评再实际看过后心是真的安下来了，希望以后b站的活动都能如这次一样有良好的水准。
最后迟来的，新年快乐"
周吖吖-,女,4,整整三个小时看完，凌晨2点半也不想快进，非常高质量的音乐会，满足，新年快乐呀～
一只萌新路过丶,保密,3,可以说是我这么多年来看过最好看的晚会了，b站牛逼！！
抹茶拿铁不要加铁,男,5,周深唱的能解答一切的答案，真的，太契合现在的医生职业了。
奈何青山,保密,4,"别问哭了多少次，戳心里了，谢谢有你b站，这是我们的时代，是我们的晚会～我爱你，有生之年我一定要去现场！！还有沙雕网友我爱你们！！一起跨年的感觉不要太好了（虽然我晚了一天但我不管），明年也要一起快乐！！新年快乐！！！"
盐就是雪,保密,3,第一趴 还是有点简单了 第二趴 嗯还不错 第三趴 卧槽这什么神仙！！
楊超越男友粉,保密,5,名侦探柯南一出来把爷给弄哭了Σ( ￣□￣||)&lt;
High-Five-fight,保密,4,我哭了，哭得很大声。2020我成年了，我希望我能成熟点！
帮我想个好名字吖,保密,4,"微博看见的，这位大佬会吹：
哇B站跨年看完，一秒垂直入坑，太激动辽，都不知道该怎么吹周深的彩虹屁了。他的声音里…真的…可以有星辰，有银河，有宇宙，有创世，有末日，也可以有红尘，有江山，有烟火，有人间，甚至可以有掀开玻璃杯盖子时滑下来的小水珠…呜哇呜哇呜哇呜哇呜哇呜哇太激动辽"
无聊的小毕,保密,3,最喜欢骄傲的少年，喜欢的扣一
哦呦呦o,男,4,天依在现场能看到吗？？？？？谁来告诉我
我来淘宝,保密,4,希望下次胡彦斌大佬可以唱《月光》[打call][打call][打call]
这是个ID呀,保密,4,魔兽和涅槃真的把我炸到了
烟沫凡尘_,男,5,感谢B站带来的最后狂欢夜，几次直接泪崩，属于九零后的时代已经落幕了，我们的青春终究是宣告结束了啊。
阿爱强上了阿珍,男,5,"我爱的小破站永远是我最爱的模样[爱心]

2019并不顺利，但一直有着b站和亲爱的你们的陪伴，
无论心情多不好都会马上治愈。
我是一个普通大二学生，也是个b站的五级萌新，可以说b站就是我的青春，陪伴了我太长时间，已经是我生活中无法分割的一部分。

看了晚会之后真的很感动，b站真的太懂我们，每一个部分都有自己的受众，就连美食区up都派出了场下代表（笑），让所有的站友们都能收获自己的感动，全程保持高度期待并不停收获惊喜，这样一个全程高能的晚会完全满足甚至超出了我的期待。

没什么好说的，祝小破站越来越好，祝各位新年大吉吧[画风突变]

bilibili  干杯！"
不吃橘子的夏天,保密,5,张蔷是什么神仙歌手，我爱了
水灰的猪头是怪兽,保密,4,周深周深，你最棒啊啊啊啊啊
迷路人vj,保密,3,周深这是上了多少个台的晚会
wyzlll1,男,4,无论是谁办晚会，我358团一定来帮帮场子
南城十月,保密,5,我只能说b站太牛掰了!
陌夏之蓝,男,5,氛围爆炸，这不比演唱会更香？
希灵影殇,保密,5,很不错的晚会呢，可惜方老师的battle那段被掩盖了好多，如果能分一下声道可能会更舒服[2020]
纯洁的某西,保密,4,啊啊啊周深的翻唱什么时候上网易云
嚯嚯火火嚯嚯！,男,5,没有相声小品魔术杂技的晚会也很好看，谢谢[2020]
錵開や落幕乀,男,4,你看，98亿用不完了[doge]
77112480744_bili,保密,3,现在很少有一台晚会可以让我从头看到尾了
乳酸灬君,男,5,方老师全场最佳啊啊啊啊啊啊啊啊！！！[喜欢]
tsuki35,女,4,請五月天真是又嗨又點題哈哈 吳亦凡願意來真的有驚喜到 這胸襟可以阿不過還是希望他能繼續做音樂吧演戲就別了
libobo,女,4,最用心的跨年，给我最多惊喜，做内容有质量，永远都不会被埋没！谢谢哔哩哔哩这个跨年，我太喜欢了！干杯！
阿淼阿miao,保密,4,最喜欢的是天依的茉莉花，最遗憾的是！胡彦斌没有唱月光！！死而有憾[大哭][大哭][大哭]
矫情的熊,保密,2,这才是90的晚会
ookieM,女,5,小破站，万万没想到最懂我的居然是你[呆][呆][呆]
ZoeyLees,保密,3,完美！！！哔哩哔哩不仅仅是网站，你们是文化传承！！！
随便宣,保密,3,看得很感动
15221746083_bili,保密,2,有生之年，要去一趟现场，问问各位大佬，有谁知道门票多少哇
巴啦啦小拿抓,保密,5,想知道怎么去看现场[微笑][微笑][微笑]太燃了吧
进击的萝卜丶,男,4,果然没有任何一个网站可以代替b站，无论身处何方，打开它就像回到了家[点赞]
吓得我都冲锋了,男,5,去TND真香
马马喵喵萌,女,5,b站真的今年跨年No1！期待明年继续，我要拉着家人一起看
jershejea2,女,2,那就祝大家2021年新年快乐！[滑稽][妙啊][doge][画风突变]
电线杆儿_,保密,5,disco那个操作真的是太有感觉了 绝了
君子戚戚,保密,4,太棒了，我永远爱B站啊啊啊啊啊啊啊啊
心积言,男,5,我准备屯到三十晚上看，看完就接拜年祭
哈哈哈逗呢,女,5,看个晚会我泪崩，小破站真的太会了！！！
酥炸小橙子,保密,5,质量太高了，感谢款待[打call]
雨过天箐,保密,3,这就是我想看的晚会[大哭][大哭][大哭][大哭]
霉霉上神,保密,4,别以后有人看着b站好，一些流量小生也跟着过来了，我拒绝啊
嘿我嗨爪,保密,5,我的天哪我昨天光顾着说看不到红白了压根没来看直播！我忏悔！我对不起小破站！我明年要开两个屏幕！哔哩哔哩干杯！
zhujuner,保密,2,b站，我亲爱的b站。神仙晚会啊，带我回忆了我三十几年的青春。
-Civilization-,保密,4,感觉这个录播比直播好得多，直播各种无关的弹幕太多了，影响视野。
弦火小小姐,女,5,我太喜欢b站了。
咕咕鼓鼓guguoo,保密,4,我就一个问题，票在哪儿买，明年我一定要在现场啊啊啊啊！
CherrieWhy,保密,5,2019-2020的众多跨年晚会里，小破站这次真的是一战成名了！！！我对节目单安排的太满意了（除了冯提莫女士）！
游魂小米,保密,4,我哭撩，长这么大看过最好看的跨年晚会，没有之一！！！[画风突变][画风突变][画风突变]
仓鼠吃多了,保密,5,真的是近几年最爱的跨年晚会了，卫视的晚会可能就是为了等自己喜欢的爱豆上场，除此之外都兴趣缺缺，可是bilibil给我的感觉就是，我可以为了我喜欢up主，喜欢的歌手，喜欢的爱豆来，但是每一个节目都能吸引我，都有出动自己的点，内容真的是把过去和未来串联起来，有过往的情怀，梗，事件，热播番剧和热门话题，有未来大家和bilibili一起的故事，追新番，追新综艺，甚至追新闻。文笔有限，有的感受真的不知道怎么表达，这是第一次看完之后在我心里还留有余韵的跨年晚会[2020]期待2020，如果有机会，我想去一次现场，祝大家新年快乐[2233娘_卖萌]
六宫妃,保密,4,雷军大哥，希望明年看到活的
未來科技枕營業部,男,5,我冲！我充会员还不行么？[无语]
再无淡粉时的你,男,2,这是把提词器挂在无人机上了吗[大笑][大笑]
一心没有你,男,3,呜呜呜，希望b站下次能把杰伦弄来[害羞][害羞]
二爷的陌离_喵,保密,5,"昨天因为团建和加班的关系，跨年晚会看的断断续续，今天就又补了一遍，只能说小破站太懂了，真的太明白自己的受众了，我的眼泪不值钱。
这里有一群最理想主义的人，也是最爱国的人。这里有七八十的爷爷奶奶，也有十岁的孩童。这里发布的不仅是视频，更记录了许多人的生活。鬼畜，科技，宅舞，番剧，萌宠...你可以在这里放松，也可以在这里成长。
B站已经陪我走过了七年，那些渐行渐远遗失了的人，可能会在弹幕擦肩而过，而在那些共同欢笑与伤感的字里行间，我们又相遇许多有趣的灵魂。
新的一年啦，无论B站被多少人所熟知，在我心里都是离不开的小破站，我们继续一起披荆斩棘，越来越好吧！
PS:文艺复兴真的上头，请将屏幕调至4:3以及360P，你会再来亿遍！
PPS:下次提词器不要再放那么高了吧[调皮]"
BB粉2005,保密,2,因为周笔畅注册了B站，冲着周笔畅看了B站晚会，但这晚会真的是燃爆了！！！
我好凶哒,保密,2,我为歌狂竟然这么多同龄人没看过，上美已经莫得排面了[喜极而泣][喜极而泣]
關外侯,男,4,全程无尿点，愿B站越来越好！
喜欢自由,男,5,今年的跨年表现可是说是非常惊艳和圆满。期待明年会更进一步。[点赞]
佬基基l,保密,3,那些把综艺娱乐跟春晚拿来比较的人我不想多说什么了，春晚或许确实做的不够好，但是春晚也是不可能搞成跟平台和地方卫视娱乐一样的，拿整天拿春晚比较的人怎么新闻联播跟黄金眼比较？娱乐可以，但是不要娱乐至死[2020]
我Drunk不做人,女,4,看完以后脑子里只有一句话:哔哩哔哩nb！！！第一次的跨年晚会很惊艳，质量很高，有点出人意料哈哈哈，可惜的是昨天学校不放假错过了直播，今天回来只能看录播了哈哈哈。新的一年里，祝小破站越办越好，b友们身体健康万事如意学业有成！！！明年我们还要一起跨年！！相约B站！！
123念念不忘必有回响,保密,4,为什么没有新宝岛，抖肩舞呀
林琳琅-,保密,3,哔哩哔哩-(゜-゜)つロ乾杯~
